seed,model,dataset,num_images_evaluated,segmentation_algorithm,explanation_type,auc_evaluation_version,threshold,option,mean_auc,std_auc,avg_time
0,resnet18,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,3,9.081734766053108,10.79900080012309,2.2242113785743713
0,vit_b16,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,3,5.490567009487589,9.584014220030294,15.258999519586563
0,resnet18,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,1,67.27151930850923,24.953948191298398,0.809426479101181
0,resnet18,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,1,3.2017616954160824,7.770994468538603,0.831036584854126
0,resnet18,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,2,67.01259336537576,25.1768623759717,0.16571378779411317
0,resnet18,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,2,3.1261295414807284,7.598115560284306,0.17132650423049928
0,resnet18,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,3,67.00800741875949,25.219313452755774,1.1197131147384645
0,resnet18,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,3,3.120467542164696,7.579283993254121,1.065130039691925
0,vit_b16,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,3,17.12286320209178,16.766827276949915,5.208669422388077
0,resnet18,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,1,60.21170147954068,24.324977054258003,0.16330406308174134
0,resnet18,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,1,8.257139438639344,10.692227454803104,0.16375939679145812
0,resnet18,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,2,60.19039150813592,24.25780407885245,0.16960763239860535
0,resnet18,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,2,8.249690845810852,10.69167226536455,0.17573592066764832
0,resnet18,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,3,60.14675427956258,24.266497098585837,0.8095066583156586
0,resnet18,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,3,8.283515830715636,10.797433125529274,0.8031268949508668
0,resnet18,imagenet,10000,Fenzelswalb,KernelSHAP,insertion,,,54.6790390916868,26.281230563335743,1.3439209656715394
0,vit_b16,imagenet,10000,Fenzelswalb,KernelSHAP,insertion,,,77.75969567443887,19.538367070470823,1.4413793606758118
0,mobilenet_v2,imagenet,10000,Fenzelswalb,KernelSHAP,insertion,,,78.5603662251268,17.82195018799187,2.1673597428798677
0,resnet50,imagenet,10000,Fenzelswalb,KernelSHAP,insertion,,,78.30169529489251,18.48112265846446,2.372327203512192
0,resnet18,imagenet,10000,Fenzelswalb,KernelSHAP,deletion,,,4.500766988590507,9.242883810942217,1.3439146173000336
0,vit_b16,imagenet,10000,Fenzelswalb,KernelSHAP,deletion,,,11.435286265007289,16.028142533787126,1.429494059085846
0,resnet18,imagenet,10000,Fenzelswalb,GradientSHAP,insertion,,,34.35900234581539,17.491260856076163,0.2112665843963623
0,vit_b16,imagenet,10000,Fenzelswalb,GradientSHAP,insertion,,,45.4474996116377,17.719954512344295,0.26546592712402345
0,resnet18,imagenet,10000,Fenzelswalb,GradientSHAP,deletion,,,23.930947130167826,15.591074419310772,0.22186773419380187
0,vit_b16,imagenet,10000,Fenzelswalb,GradientSHAP,deletion,,,39.885703468000266,19.115284906385483,0.2571419339179993
0,mobilenet_v2,imagenet,10000,Fenzelswalb,KernelSHAP,deletion,,,12.263074749799184,14.855215675787914,1.7254963171482087
0,mobilenet_v2,imagenet,10000,Fenzelswalb,GradientSHAP,insertion,,,47.331701752703914,15.905392431221552,0.20896177315711975
0,resnet50,imagenet,10000,Fenzelswalb,KernelSHAP,deletion,,,16.06093493161637,18.07993155606644,1.8389287996292114
0,mobilenet_v2,imagenet,10000,Fenzelswalb,GradientSHAP,deletion,,,37.604317080109,15.748769430618047,0.2257470636367798
0,resnet50,imagenet,10000,Fenzelswalb,GradientSHAP,insertion,,,48.635652560723976,15.676078901831888,0.23651834154129028
0,resnet50,imagenet,10000,Fenzelswalb,GradientSHAP,deletion,,,41.37134800943049,16.03161093681918,0.2184023940563202
0,resnet18,imagenet,10000,Quickshift,KernelSHAP,insertion,,,63.63761176718698,23.58731475673785,0.8410219430923462
0,vit_b16,imagenet,10000,Quickshift,KernelSHAP,insertion,,,83.16799028174277,17.136849796835044,1.0367097396850586
0,mobilenet_v2,imagenet,10000,Quickshift,KernelSHAP,insertion,,,81.82021689292498,15.64381466675626,1.150529580593109
0,resnet50,imagenet,10000,Quickshift,KernelSHAP,insertion,,,82.54210851207931,16.180297136045258,1.3329936673641205
0,resnet18,imagenet,10000,Quickshift,KernelSHAP,deletion,,,7.541599858352223,11.134513938880787,0.772196272611618
0,vit_b16,imagenet,10000,Quickshift,KernelSHAP,deletion,,,16.841469764430478,18.172480031353416,0.9625795781612396
0,resnet18,imagenet,10000,Quickshift,GradientSHAP,insertion,,,49.76634592984043,23.337021357135473,0.051935397386550904
0,vit_b16,imagenet,10000,Quickshift,GradientSHAP,insertion,,,65.85436773917105,23.937703981075156,0.07997684502601624
0,mobilenet_v2,imagenet,10000,Quickshift,KernelSHAP,deletion,,,21.83957585972338,19.43884205304508,1.0054556312561036
0,resnet50,imagenet,10000,Quickshift,KernelSHAP,deletion,,,25.91143807231974,21.445671677381387,1.1188111572265624
0,vit_b16,imagenet,10000,Quickshift,GradientSHAP,deletion,,,35.049058764038406,24.520553723102047,0.1079383327960968
0,resnet18,imagenet,10000,Quickshift,GradientSHAP,deletion,,,16.036886077458306,16.389466451863257,0.06339311456680298
0,mobilenet_v2,imagenet,10000,Quickshift,GradientSHAP,insertion,,,64.28649303077187,21.092132414935715,0.07942279624938965
0,resnet50,imagenet,10000,Quickshift,GradientSHAP,insertion,,,65.26671132127055,23.02366623485475,0.08782385063171387
0,resnet18,imagenet,10000,SLIC,KernelSHAP,insertion,,,59.5117825544357,24.903933413184287,0.8387252202033997
0,vit_b16,imagenet,10000,SLIC,KernelSHAP,insertion,,,80.19340852544235,17.260143928217026,0.972609433889389
0,mobilenet_v2,imagenet,10000,Quickshift,GradientSHAP,deletion,,,39.83007961307652,22.71666985000399,0.07785208129882812
0,resnet18,imagenet,10000,SLIC,KernelSHAP,deletion,,,7.663437702863435,10.00336315384887,0.8402518360614777
0,resnet18,imagenet,10000,SLIC,GradientSHAP,insertion,,,42.68975963762605,23.805496424769085,0.07813630366325379
0,vit_b16,imagenet,10000,SLIC,KernelSHAP,deletion,,,18.879371287800364,19.847433939369886,1.0098537633419036
0,resnet18,imagenet,10000,SLIC,GradientSHAP,deletion,,,15.532223859967486,16.23148142709487,0.08041294598579407
0,vit_b16,imagenet,10000,SLIC,GradientSHAP,insertion,,,62.547262573496596,24.521873282210983,0.10991248202323914
0,vit_b16,imagenet,10000,SLIC,GradientSHAP,deletion,,,34.32103572119073,23.383516379262275,0.1046231758594513
0,resnet50,imagenet,10000,Quickshift,GradientSHAP,deletion,,,45.50958337427987,23.41823917409588,0.08232647180557251
0,mobilenet_v2,imagenet,10000,SLIC,KernelSHAP,insertion,,,80.35595094391007,15.684791111002268,1.1309899506568908
0,resnet50,imagenet,10000,SLIC,KernelSHAP,insertion,,,81.32073813335211,16.976660928971175,1.2169654381275177
0,mobilenet_v2,imagenet,10000,SLIC,KernelSHAP,deletion,,,22.765104220136433,20.62055662448757,1.0758021881580353
0,mobilenet_v2,imagenet,10000,SLIC,GradientSHAP,insertion,,,60.38274775189735,22.130740341280795,0.0732502453327179
0,mobilenet_v2,imagenet,10000,SLIC,GradientSHAP,deletion,,,41.66801282490593,22.721129975386674,0.0742811107635498
0,resnet50,imagenet,10000,SLIC,KernelSHAP,deletion,,,26.59886789960859,22.44147027256939,1.0425723564624787
0,resnet50,imagenet,10000,SLIC,GradientSHAP,insertion,,,62.00434935531895,23.18424453048497,0.08931554794311523
0,resnet50,imagenet,10000,SLIC,GradientSHAP,deletion,,,47.52398754923628,23.59928113133753,0.09116667032241821
